Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoffs2,Championship
2019,Utah Jazz,72,17355,41.1,90,0.457,11.1,31.3,0.353,30,58.6,0.512,16.6,21.7,0.767,9.6,33.5,43.1,21.7,7.9,4.6,12.5,21,109.9,TRUE,FALSE
2019,Indiana Pacers,73,17620,39.7,88.9,0.446,11.5,33.8,0.341,28.2,55.1,0.511,17.1,21.7,0.788,10.4,35,45.5,23.2,6.9,4.6,14.7,18.9,108,TRUE,FALSE
2019,Orlando Magic,73,17570,40.9,87.9,0.465,12.4,34,0.364,28.5,53.9,0.529,15.4,20,0.771,9.1,36.2,45.4,25,7.1,4.7,14.8,19.7,109.5,TRUE,FALSE
2019,Philadelphia 76ers,73,17595,40,86.4,0.463,10.5,29.6,0.353,29.6,56.8,0.52,18.5,24.6,0.751,8.7,33.4,42.1,22.9,7,4,13.9,20.6,109,TRUE,FALSE
2019,Los Angeles Clippers,72,17380,38.7,88.3,0.438,12,34.9,0.345,26.7,53.4,0.499,18.2,24,0.756,10.5,33.9,44.4,23.2,7.3,4.6,13.8,22.4,107.6,TRUE,FALSE
2019,Milwaukee Bucks,73,17595,36.9,89,0.414,13.2,37.3,0.355,23.7,51.8,0.457,15.8,20.1,0.787,9,34.4,43.4,22.9,7,4.2,13.4,20.6,102.9,TRUE,FALSE
2019,Miami Heat,73,17745,38.9,87,0.448,13.1,37.9,0.347,25.8,49.1,0.525,18.5,23.7,0.783,9.3,33.4,42.7,24.7,7.5,4.2,14.1,21.8,109.5,TRUE,FALSE
2019,Denver Nuggets,73,17745,40.7,87.9,0.463,12.3,34.4,0.358,28.3,53.4,0.53,17.4,22.9,0.759,10.2,33.1,43.4,25.8,7.3,4.5,14.5,20.8,111,TRUE,FALSE
2019,Atlanta Hawks,67,16280,41.5,87,0.478,11.4,31.4,0.363,30.1,55.6,0.542,20.3,26.3,0.772,10.7,34.4,45.1,24,8.6,6.1,14.4,20.1,114.8,FALSE,FALSE
2019,Sacramento Kings,72,17455,40.3,85.6,0.471,12.4,34.8,0.357,27.9,50.8,0.549,19.2,24.3,0.79,9.1,34.5,43.6,24.9,7.7,4.2,15.2,19.5,112.2,FALSE,FALSE
2019,Brooklyn Nets,72,17480,40.3,90.5,0.446,11.9,33.9,0.35,28.5,56.6,0.503,16.9,22,0.769,10.4,34.4,44.8,22.1,7.5,5.1,12.4,20.6,109.5,TRUE,FALSE
2019,San Antonio Spurs,71,17215,41.7,88.9,0.469,12.9,34.6,0.373,28.8,54.3,0.53,17.2,22.1,0.777,9.2,35.4,44.6,25.3,6.7,4.3,13,19.8,113.5,FALSE,FALSE
2019,Houston Rockets,72,17380,40.5,87.7,0.462,11.7,33.6,0.349,28.8,54.1,0.532,17.3,22.7,0.761,10.7,35.2,45.9,24.2,7.7,4.7,15.5,20.2,110.1,TRUE,FALSE
2019,Phoenix Suns,73,17595,40.5,85.9,0.472,11.4,31.4,0.363,29.1,54.4,0.535,19,24.1,0.788,8.9,33.6,42.6,23.2,7.8,5.4,15.3,22.3,111.4,FALSE,FALSE
2019,Memphis Grizzlies,73,17570,39.4,87.6,0.45,12.5,34.3,0.365,26.9,53.3,0.504,19,24.3,0.782,10,33.5,43.5,24.1,7.8,5.1,14.3,19.6,110.3,FALSE,FALSE
2019,Dallas Mavericks,75,18175,41.8,91.3,0.458,12.2,34.8,0.351,29.6,56.5,0.523,16,21,0.76,10.4,34.9,45.3,23.9,7,4.1,11.9,21.3,111.7,TRUE,FALSE
2019,New Orleans Pelicans,72,17430,40.8,87.8,0.465,11.7,32.4,0.361,29.2,55.4,0.526,18.6,23.6,0.789,9.6,33.2,42.8,23.4,8.2,4.6,13.9,20.2,111.9,FALSE,FALSE
2019,Washington Wizards,72,17355,41.8,85.7,0.488,12.1,32.1,0.376,29.7,53.6,0.555,19.8,25.5,0.778,10.1,34.6,44.8,24.4,7.3,4.9,15.7,21.6,115.5,FALSE,FALSE
2019,Portland Trail Blazers,74,17835,41.3,90.6,0.456,13.4,35,0.383,27.9,55.6,0.501,18.8,24.4,0.771,11.4,35,46.3,24.6,6.7,4.9,12.7,19.9,114.8,TRUE,FALSE
